43666695,,,,1,177,,,,,,,,,,,,,,,,,2
32906145,223,73,26,17,,8,9,,,,,,24,30,3,,70,,,,105,40
47749493,49,254,12,3,3,4,9,,,,,,3,3,1,2,3,,,,4,6
23420445,1,6,4,7,26,3,,5,,12,72,,,,,,21,,,,,35
39840380,1,6,6,1,27,1,,254,,39,1,3,,,,,1,,,,,22
3799552,254,20,2,,,,92,,,2,,,3,5,,,3,,,,62
52795778,,3,28,,24,1,,9,,2,,,,,,,,,1,,,12
37169992,138,36,8,,1,,4,,,,,,3,3,1,2,2,,,,12,2
33406146,,9,,6,28,,,,,1,2,,1,,,,,,,,,4
77253235,46,215,70,,104,5,4,5,,10,7,1,,2,,3,14,,,,23,12
32746404,,,,1,,,,49,,,,,,,,,,,,,,1
26955722,11,115,37,,114,1,1,27,,1,62,,,1,10,,2,,,,,8
38315566,254,22,1,2,2,1,127,,,,,1,1,3,,,1,,,,52,2
5913571,126,,,,,,75,,,,,,,,,,1,,,,19,1
44650508,254,28,10,2,,,46,2,,,,,2,6,,,5,,1,,78,2
23109991,254,31,5,3,4,,126,12,,1,13,1,9,21,,,5,,,,64,4
26140698,26,,,,,,82,,,,,,,6
26797336,2,3,,5,75,2,,,,,,,,2,,,,,,,2,15
29395369,,10,,,6,,,,,,254,,,,,,,,,,,1
23868023,,12,,,19,,,,,,254,,,,,,,,,,,11
26401214,2,31,27,,193,,1,15,,,4,,1,,,,2,,1,,,12
28312499,254,20,1,,,6,178,,,,,,3,1,1,,,,,,21
32211876,,2,2,3,3,,,167,,1,,,,,,,,,,,,25
23441931,,22,6,1,117,,,1,,2,21,,1,1,1,,,,,,,18
36864522,2,7,254,1,3,2,,1,,,,,,,,,1,,,,2,3
17991015,8,14,,,,,,,,,,254,2,4,,,,,,,,2
56036952,2,34,15,1,5,,,1,,1,3,,2,1,,,,,,,,2
47242898,,14,3,1,21,,,,,1,1,,,3,,,2,,,,1,5
60684388,2,8,3,,,,,,,1,,,,,136,1,,,,,1,1
49328294,,6,25,2,18,4,,11,,1,2,,1,6,,,2,,,,2,17
75848500,254,25,2,,2,3,51,,,,,,,2,,,3,,,,84,2
4529580,1,6,1,4,185,,,2,,5,1,1,,,,,,,,,,16
42938325,,6,3,,4,,,214,,4,3,,,,,,,,,,,9
27089831,,,,,,,,,,,,,,,,254
28816125,29,,4,,,1,254,,,,,,52,,,,,,,,1
59444406,103,55,28,5,3,4,4,2,,,,,6,7,,2,15,,,,31,10
47974838,2,30,,,,,,,,,,113,3,2,,,,,,,,1
52623472,1,5,254,1,,,,,,,,,,1,,,1,,,,2
35071767,1,37,53,,1,6,,,,,,,,,,,1,,,,2
